Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference
Co0.97Ni0.03Ge1.00Te1.00,327,-81.28,90957,6.333,0.000600902,0.031027143,https://doi.org/10.1021/acs.inorgchem.1c01538
Co0.99Ni0.01Ge1.00Te1.00,327,-115.11,57181,6.9545,0.000757666,0.035625396,https://doi.org/10.1021/acs.inorgchem.1c01538
Co1.00Ge1.00Te1.00,327,-176,5850,8.295,0.00018121,0.007143525,https://doi.org/10.1021/acs.inorgchem.1c01538
Ca11.00Sb10.00,327,19.56,824.7,0.7813,3.16E-07,0.000132058,https://doi.org/10.1021/acs.inorgchem.7b00617
Ca2.00Yb9.00Sb10.00,327,1.63,150204,1.7795,3.99E-07,7.33E-05,https://doi.org/10.1021/acs.inorgchem.7b00617
Ca2.00Yb9.00Sb9.00Ge1.00,327,17.04,889.8,1.6366,2.58E-07,5.16E-05,https://doi.org/10.1021/acs.inorgchem.7b00617
Ca6.00Yb5.00Sb10.00,327,6.22,50612,1.0625,1.96E-06,0.000602633,https://doi.org/10.1021/acs.inorgchem.7b00617
Ca9.00Yb2.00Sb10.00,327,14.81,42490,0.6438,9.32E-06,0.004733623,https://doi.org/10.1021/acs.inorgchem.7b00617
Ca9.00Yb2.00Sb7.00Ge3.00,327,20.74,309,1.0188,1.33E-07,4.27E-05,https://doi.org/10.1021/acs.inorgchem.7b00617
Ca9.00Yb2.00Sb9.00Ge1.00,327,-5.48,10000,0.7094,3.00E-07,0.000138426,https://doi.org/10.1021/acs.inorgchem.7b00617
Tl9.00Sb0.97Te6.00,327,104,50000,0.73,0.0005408,0.242248767,https://doi.org/10.1021/cm402593f
Cu11.90Gd0.10Sb4.00S13.00,327,78.34,108427,1.4827,0.000665433,0.146757073,https://doi.org/10.1021/acsami.1c03493
Cu11.80Gd0.20Sb4.00S13.00,327,79.12,110412,1.411,0.000691176,0.160180473,https://doi.org/10.1021/acsami.1c03493
Cu11.60Gd0.40Sb4.00S13.00,327,81.3,102008,1.3,0.000674241,0.169597609,https://doi.org/10.1021/acsami.1c03493
Cu11.50Gd0.50Sb4.00S13.00,327,84.72,89851,1.3857,0.000644904,0.152185524,https://doi.org/10.1021/acsami.1c03493
Sn0.92Ge0.04As0.04Te1.00,328,37.47,786420,7.477,0.001104134,0.1064,https://doi.org/10.1021/acs.chemmater.1c03198
Ag8.00Sn0.40Ga0.60Se6.00,328,-552.34,33,0.2108,1.01E-05,0.015664992,https://doi.org/10.1021/acsami.1c17548
Ag8.00Ge1.00Te6.00,329,519,95,0.253,2.56E-05,0.033276198,10.1002/pssr.200701302
In3.94Pb0.06Se3.00,330,-200,7300,1.52,0.000292,0.063394737,10.1002/adma.201302038
In3.95Pb0.05Se3.00,330,-207,5150,1.055,0.000220672,0.069025474,10.1002/adma.201302038
In3.96Pb0.04Se3.00,330,-192,7000,1.243,0.000258048,0.068508319,10.1002/adma.201302038
In3.99Pb0.01Se3.00,330,-206,10000,1.12,0.00042436,0.125034643,10.1002/adma.201302038
Yb1.00Si2.00,330,-51,730100,8.76,0.00189899,0.071537298,10.1002/pssr.201700372
Rb2.00Bi8.00Se12.91,330,-142.3,15700,0.84,0.000317914,0.124894728,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se12.94,330,-167.3,11260,0.7533,0.000315159,0.138062663,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se12.96,330,-186,11200,0.6822,0.000387475,0.187433034,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se12.97Cl0.03,330,-92.1,30150,0.9,0.000255745,0.093773043,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se12.98,330,-223.2,8106,0.74,0.000403827,0.180084859,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se12.98Cl0.02,330,-112.7,21029,0.8,0.000267095,0.110176864,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se12.99Cl0.01,330,-160,12500,0.6599,0.00032,0.160024246,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se12.99,330,-220,8485,0.7117,0.000410674,0.190420711,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se12.99Cl0.01,330,-199.25,9559,0.6223,0.000379498,0.201244148,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2.00Bi8.00Se13.00,330,-268,1591,0.5096,0.000114272,0.073998734,https://doi.org/10.1021/acs.chemmater.0c00703
Ca1.14Yb3.86Al1.68In0.32Sb6.00,330,156.9,9024,1.133,0.000222149,0.064703683,https://doi.org/10.1021/acs.inorgchem.0c01944
Ag2.00Se0.50Te0.50,330,-95,64495,0.648,0.000582067,0.2964232,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.00Se0.60Te0.40,330,-109,78350,0.706,0.000930876,0.435112175,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.00Se0.80Te0.20,330,-126.5,96800,0.782,0.001549018,0.653677588,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.00Se0.90Te0.10,330,-135.6,97980,0.845,0.001801594,0.703580906,https://doi.org/10.1021/acs.inorgchem.1c01563
Zn2.00Cu3.00In3.00Te8.00,330,132.4,20300,3.25,0.000355854,0.037,https://doi.org/10.1021/acsaem.9b02004
Sn1.00Te1.00,330,11.33,742012,8.0658,9.53E-05,0.003897061,https://doi.org/10.1021/acsami.1c15595
Ag8.00Sn0.60Ga0.40Se6.00,330,-559.35,70,0.21,2.19E-05,0.052,https://doi.org/10.1021/acsami.1c17548
Ag8.00Sn1.00Se6.00,330,-543,99,0.213,2.92E-05,0.045224023,https://doi.org/10.1021/acsami.1c17548
Cu1.00Ag1.00Te0.60Se0.40,330,209.51,9916,0.4331,0.000435257,0.331643728,https://doi.org/10.1021/acsami.1c20333
Cu1.00Ag1.00Te0.70Se0.30,330,232.34,10303,0.3754,0.000556175,0.488912726,https://doi.org/10.1021/acsami.1c20333
Cu3.00Sn1.00S40.85Ga2.00Te30.15,331,78.79,58519,1.7802,0.000363278,0.067545791,https://doi.org/10.1021/acs.inorgchem.1c01028
Cu3.00Sn1.00S40.88Ga2.00Te30.12,331,75,93015,2.4066,0.000523209,0.071961399,https://doi.org/10.1021/acs.inorgchem.1c01028
Cu3.00Sn1.00S40.90Ga2.00Te30.11,331,52.02,178473,2.9505,0.000482962,0.054180823,https://doi.org/10.1021/acs.inorgchem.1c01028
Cu3.00Sn1.00S40.91Ga2.00Te30.09,331,47.47,186400,3.841,0.000420034,0.036196623,https://doi.org/10.1021/acs.inorgchem.1c01028
Sn0.91Mn0.09Te1.00,331,58.98,300000,3.9342,0.001043592,0.087801584,https://doi.org/10.1021/acsami.1c15595
Sn0.91Mn0.09Te0.97I0.03,331,56.7,233846,3.5267,0.000751789,0.070559507,https://doi.org/10.1021/acsami.1c15595
Sn0.91Mn0.09Te0.98I0.02,331,59.28,223590,3.374,0.000785722,0.07708177,https://doi.org/10.1021/acsami.1c15595
Sn0.91Mn0.09Te0.99I0.01,331,61.86,241538,3.7557,0.000924284,0.081459623,https://doi.org/10.1021/acsami.1c15595
Sn0.97Mn0.03Te1.00,331,41.8,265089,6.3421,0.000463174,0.02417348,https://doi.org/10.1021/acsami.1c15595
Mg3.00Sb1.60Bi0.40,332,142,3455,0.95,6.97E-05,0.02434665,10.1039/c3ra40457a
Mg3.00Sb1.80Bi0.20,332,306,333,1.17,3.12E-05,0.008847882,10.1039/c3ra40457a
Mg3.00Sb1.90Bi0.10,332,278,302,1.32,2.33E-05,0.005870305,10.1039/c3ra40457a
Mg3.00Sb2.00,332,193,207,1.34,7.71E-06,0.001910373,10.1039/c3ra40457a
Sn0.95Mn0.05Te1.00,332,43.75,471006,5.6579,0.000901535,0.052901181,https://doi.org/10.1021/acsami.1c15595
Sn0.99Mn0.01Te1.00,332,30.08,701775,8.4605,0.000634971,0.024916992,https://doi.org/10.1021/acsami.1c15595
Ag2.00Se0.98,332,-115.6,184930,1.192,0.002471286,0.688311247,https://doi.org/10.1021/acsami.1c18483
Ag2.00Se1.00,332,-127.3,146560,1,0.002375047,0.788515704,https://doi.org/10.1021/acsami.1c18483
Ag2.00Se1.03,332,-140.43,118530,1.066,0.002337481,0.727995936,https://doi.org/10.1021/acsami.1c18483
Cu2.00Se1.00,333,85.1,122500,1.064,0.000887146,0.277650087,https://doi.org/10.1021/acs.chemmater.7b01687
Cu2.00Se0.88S0.12,333,117.3,62300,0.564,0.000857204,0.501,https://doi.org/10.1021/acs.chemmater.7b01687
Cu2.00Se0.92S0.08,333,106.91,93820,0.684,0.001072339,0.52205976,https://doi.org/10.1021/acs.chemmater.7b01687
Cu2.00Se0.94S0.06,333,102.63,102454,0.732,0.001079139,0.490920004,https://doi.org/10.1021/acs.chemmater.7b01687
Cu2.00Se0.96S0.04,333,97.04,112838,0.816,0.001062569,0.433621723,https://doi.org/10.1021/acs.chemmater.7b01687
Cu2.00Se0.98S0.02,333,94.41,114384,0.84,0.001019533,0.404171999,https://doi.org/10.1021/acs.chemmater.7b01687
Cu2.00Se0.50S0.50,333,46.04,131429,1.1893,0.000278588,0.0780036,https://doi.org/10.1021/acs.inorgchem.1c01631
Cu2.00Se0.70S0.30,333,53.47,126000,0.87467,0.000360239,0.137148454,https://doi.org/10.1021/acs.inorgchem.1c01631
Cu2.00Se0.90S0.10,333,45.54,63429,0.4267,0.000131545,0.10265864,https://doi.org/10.1021/acs.inorgchem.1c01631
Ce0.75Fe3.00Co1.00Sb12.00,333,65.05,154146,7.961,0.000652269,0.027283713,https://doi.org/10.1021/acsami.1c16622
Ag2.00Se1.00,334,-117.04,172131,1.137,0.002357913,0.7,https://doi.org/10.1021/acsami.1c18483
Ag2.00Se1.01,334,-138.72,125902,1.066,0.002422762,0.759101853,https://doi.org/10.1021/acsami.1c18483
Ag2.00Se1.02,334,-139,134200,1.064,0.002592878,0.82,https://doi.org/10.1021/acsami.1c18483
Ag2.00Se1.04,334,-141.91,116066,1.02,0.002337389,0.765380358,https://doi.org/10.1021/acsami.1c18483
Ag2.00Se1.06,334,-141.2,119016,0.996,0.002372874,0.795722928,https://doi.org/10.1021/acsami.1c18483
Mg2.00Cu3.00In3.00Te8.00,335,311.3,1483,3.577,0.000143714,0.013459386,https://doi.org/10.1021/acsaem.9b02004
Cd2.00Cu3.00In3.00Te8.00,335,148.4,18310,1.923,0.000403233,0.070246011,https://doi.org/10.1021/acsaem.9b02004
Nb0.75Ta0.25Co1.00Sn0.90Sb0.10,338,-105,121986,4.603,0.001344896,0.098756187,https://doi.org/10.1021/acsaem.1c02293
Nb0.85Ta0.15Co1.00Sn0.90Sb0.10,338,-103.27,125957,4.9794,0.001343293,0.091182259,https://doi.org/10.1021/acsaem.1c02293
Nb0.80Ta0.20Co1.00Sn0.90Sb0.10,338,-104.23,122979,4.9175,0.001336031,0.091830884,https://doi.org/10.1021/acsaem.1c02293
Nb0.95Ta0.05Co1.00Sn0.90Sb0.10,338,-89.3,140000,5.562,0.001116429,0.067844816,https://doi.org/10.1021/acsaem.1c02293
Nb0.90Ta0.10Co1.00Sn0.90Sb0.10,338,-100.96,134326,5.32,0.001369174,0.086988899,https://doi.org/10.1021/acsaem.1c02293
Nb1.00Co1.00Sn0.90Sb0.10,338,-85.7,149078,6.708,0.001094902,0.055169475,https://doi.org/10.1021/acsaem.1c02293
Ba7.97Ga15.95Sn30.06,340,336.62,13463,0.92292047,0.001525533,0.562,https://doi.org/10.1021/acs.chemmater.5b00025
Ba8.01Ga15.83Zn0.02Sn30.15,340,430.9,4929,0.826,0.000915191,0.376713059,https://doi.org/10.1021/acs.chemmater.5b00025
Ba8.01Ga15.88Zn0.01Sn30.11,340,389.08,7197,0.882821202,0.001089505,0.4196,https://doi.org/10.1021/acs.chemmater.5b00025
Ba8.01Ga15.89Zn0.01Sn30.10,340,355.28,13640,0.926,0.001721694,0.632155355,https://doi.org/10.1021/acs.chemmater.5b00025
Ba8.00Ga15.88Zn0.01Sn30.12,340,341,15620,0.937378772,0.001816309,0.6588,https://doi.org/10.1021/acs.chemmater.5b00025
Ag1.00Sb0.99Mn0.01Te2.00,341,85.57,49067,0.9633,0.00035928,0.127181923,https://doi.org/10.1021/acs.inorgchem.9b00852
Ag1.00Sb1.00Te2.00,341,96.52,35733,0.9407,0.000332893,0.120672231,https://doi.org/10.1021/acs.inorgchem.9b00852
Ag1.00Sb0.95Mn0.05Te2.00,342,73.91,79733,1.05,0.000435557,0.141866978,https://doi.org/10.1021/acs.inorgchem.9b00852
Bi0.96Pb0.02Yb0.02Cu1.00Se1.00O1.00,343,138,27050,0.8,0.00051514,0.220866361,https://doi.org/10.1021/acsami.1c19266
Ag8.00Si1.00Se6.00,343,-145.49,79144,0.738,0.001675268,0.778613702,https://doi.org/10.1021/acsami.0c15877
Ag8.00Si1.00Se6.00,343,-157.38,48613,0.6091,0.001204069,0.67804267,https://doi.org/10.1021/acsami.0c15877
Ag8.00Si1.00Se6.00,343,-152.1,58847,0.616,0.001361391,0.7649,https://doi.org/10.1021/acsami.0c15877
Ag8.00Si1.00Se6.00,343,-162.58,45083,0.565,0.001191645,0.723423677,https://doi.org/10.1021/acsami.0c15877
Ag1.00Sb0.93Mn0.07Te2.00,344,71.3,111141,1.1253,0.000565006,0.17272034,https://doi.org/10.1021/acs.inorgchem.9b00852
Ag2.00Se0.50Te0.50,345,-97.84,65000,0.66,0.000622223,0.32525307,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.00Se0.60Te0.40,345,-111,78990,0.72,0.000973236,0.466342149,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.00Se0.80Te0.20,345,-126.64,99080,0.8,0.001589014,0.685262411,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.00Se0.90Te0.10,345,-134.66,101743,0.87,0.001844938,0.731613317,https://doi.org/10.1021/acs.inorgchem.1c01563
Bi0.84Pb0.08Yb0.08Cu1.00Se1.00O1.00,347,89.14,27429,0.7277,0.000217949,0.103927944,https://doi.org/10.1021/acsami.1c19266
Bi0.88Pb0.06Yb0.06Cu1.00Se1.00O1.00,347,117,38400,0.65,0.000525658,0.280620288,https://doi.org/10.1021/acsami.1c19266
Bi0.80Pb0.10Yb0.10Cu1.00Se1.00O1.00,347,81.25,30000,0.7759,0.000198047,0.088571034,https://doi.org/10.1021/acsami.1c19266
Bi1.00Cu1.00Se1.00O1.00,347,127.63,6575,0.6018,0.000107103,0.061755919,https://doi.org/10.1021/acsami.1c19266
Cu2.82Ag0.18Sb1.00Se4.00,348,363,9378,1.38,0.00123573,0.311618789,10.1039/c9ta05115e
Cu2.88Ag0.12Sb1.00Se4.00,348,356,11329,1.68,0.001435792,0.297414087,10.1039/c9ta05115e
Cu2.94Ag0.06Sb1.00Se4.00,348,428,5714,1.85,0.001046713,0.196895273,10.1039/c9ta05115e
Cu3.00Sb1.00Se4.00,348,498,2302,2.15,0.000570905,0.092406983,10.1039/c9ta05115e
Zn0.95In0.05Sb3.00,348,153.8,25400,0.85,0.000600823,0.245983913,https://doi.org/10.1016/j.intermet.2004.02.030
Cu1.00Ag1.00Te0.50Se0.50,349,143.09,9689,0.4627,0.00019838,0.149631645,https://doi.org/10.1021/acsami.1c20333
Cu1.00Ag1.00Te0.60Se0.40,349,216.3,9186,0.4127,0.000429773,0.363438087,https://doi.org/10.1021/acsami.1c20333
Cu1.00Ag1.00Te0.70Se0.30,349,248.64,9234,0.3539,0.000570863,0.562958951,https://doi.org/10.1021/acsami.1c20333
Cu2.02Cd0.97Sn1.00Se4.00,350,176.3,5862,2.236,0.000182201,0.028519814,10.1002/adma.200900409
Cu2.05Cd0.95Sn1.00Se4.00,350,143.2,12135,1.953,0.000248843,0.04459556,10.1002/adma.200900409
Cu2.10Cd0.90Sn1.00Se4.00,350,132,21034,1.713,0.000366496,0.074882513,10.1002/adma.200900409
Cu2.00Cd1.00Sn1.00Se4.00,350,238,2741,2.35,0.000155261,0.023124009,10.1002/adma.200900409
Cu2.00Se1.00,350,101.48,87320,0.8,0.000899238,0.393416619,10.1002/adma.201302660
Cu2.00Se0.92I0.08,350,175,11446,0.256,0.000350534,0.479245361,10.1002/adma.201302660
Cu2.00Se0.96I0.04,350,106.4,47628,0.5,0.000539195,0.377436278,10.1002/adma.201302660
Sr0.11Ba0.18Co4.00Sb12.09,350,-105,367593,4.45,0.004052713,0.318752694,10.1007/s00339-010-5711-3
Sr0.16Yb0.03Co4.00Sb11.82,350,-126,273182,3.9,0.004337037,0.389221308,10.1007/s00339-010-5711-3
Sr0.21Co4.00Sb12.25,350,-136,217727,4.58,0.004027079,0.307746181,10.1007/s00339-010-5711-3
Sr0.21Yb0.03Co4.00Sb12.12,350,-119,315000,4.08,0.004460715,0.382659375,10.1007/s00339-010-5711-3
Eu1.00Zn0.50Cd0.52Sb2.00,350,189,29000,1.432,0.001035909,0.253190049,10.1039/B916346H
Eu1.00Zn0.70Cd0.32Sb2.00,350,163,53100,1.67,0.001410814,0.29567956,10.1039/B916346H
Eu1.00Zn0.90Cd0.12Sb2.00,350,138,95200,2.08,0.001812989,0.305070231,10.1039/B916346H
Eu1.00Cd2.00Sb2.00,350,246,10417,1.224,0.000630395,0.180260057,10.1039/B916346H
Eu1.00Zn2.00Sb2.00,350,130,103700,2.26,0.00175253,0.271409513,10.1039/B916346H
Pb1.00Te1.00Ag2.00,350,-92.5,145550,0.821,0.001245362,0.530909581,10.1039/c1jm13888j
Pb1.00Te1.00Ag2.00,350,-95,127450,0.784,0.001150236,0.515,10.1039/c1jm13888j
Pb1.00Te1.00Ag2.00,350,-104.29,79473,0.85,0.00086438,0.549,10.1039/c1jm13888j
Cu3.00P0.60Ge0.40S4.00,350,57,97400,1.63,0.000316453,0.067949945,https://doi.org/10.1002/adfm.202000973
Cu3.00P0.70Ge0.30S4.00,350,68.3,57975,1.307,0.000270447,0.072422685,https://doi.org/10.1002/adfm.202000973
Cu3.00P0.80Ge0.20S4.00,350,85,32250,1.035,0.000233006,0.078794384,https://doi.org/10.1002/adfm.202000973
Cu3.00P0.90Ge0.10S4.00,350,127,7375,0.792,0.000118951,0.052566896,https://doi.org/10.1002/adfm.202000973
Ag1.00Bi0.94Pb0.06Se2.12,350,317.7,6074,0.644,0.000613069,0.333189567,https://doi.org/10.1021/acs.chemmater.0c00481
Ag1.00Bi0.95Pb0.05Se2.12,350,334,4265,0.588,0.000475786,0.283206155,https://doi.org/10.1021/acs.chemmater.0c00481
Ag1.00Bi0.96Pb0.04Se2.12,350,376.7,2221,0.553,0.000315166,0.199472354,https://doi.org/10.1021/acs.chemmater.0c00481
Ag1.00Bi0.97Pb0.03Se2.12,350,423.18,1301,0.534,0.000232985,0.152705385,https://doi.org/10.1021/acs.chemmater.0c00481
Ag1.00Bi0.98Pb0.02Se2.12,350,493.4,696,0.527,0.000169437,0.112529129,https://doi.org/10.1021/acs.chemmater.0c00481
Ag1.00Bi0.99Pb0.01Se2.12,350,579,173.84,0.5385,5.83E-05,0.037878186,https://doi.org/10.1021/acs.chemmater.0c00481
Ag1.00Bi1.00Se2.12,350,657.9,72,0.645,3.12E-05,0.016910662,https://doi.org/10.1021/acs.chemmater.0c00481
V1.00Fe1.00Sb1.00,350,-179.6,129819,6.747,0.004187462,0.217224226,https://doi.org/10.1021/acs.chemmater.0c01189
Gd2.75Se4.00,350,-93.12,7107,0.8792,6.16E-05,0.024533111,https://doi.org/10.1021/acs.chemmater.0c03581
Gd2.79Se4.00,350,-65.6,19310,1.2943,8.31E-05,0.022471033,https://doi.org/10.1021/acs.chemmater.0c03581
Gd2.84Se4.00,350,-58.5,35100,1.283,0.000120121,0.032768777,https://doi.org/10.1021/acs.chemmater.0c03581
Gd2.00Se2.92,350,-81.16,35380,1.913,0.000233046,0.042637819,https://doi.org/10.1021/acs.chemmater.0c03581
Gd2.00Se2.94,350,-84.7,35600,2.13,0.000255398,0.041966742,https://doi.org/10.1021/acs.chemmater.0c03581
Gd2.00Se2.98,350,-123.55,41835,2.03,0.000638595,0.110102525,https://doi.org/10.1021/acs.chemmater.0c03581
Cu1.55S1.00,350,13.6,536538,3.9075,9.92E-05,0.008888886,https://doi.org/10.1021/acs.chemmater.1c01856
Cu1.50S1.00,350,13.87,570952,4.36,0.000109838,0.008817269,https://doi.org/10.1021/acs.chemmater.1c01856
Cu1.60S1.00,350,16.75,404808,3.541,0.000113574,0.011225891,https://doi.org/10.1021/acs.chemmater.1c01856
Co1.00As1.00Sb1.00,350,-118,17720,2.819,0.000246733,0.030633788,https://doi.org/10.1021/acs.chemmater.7b05170
Yb1.00Cd1.10Zn0.90Sb2.00,350,86.3,135370,1.707,0.001008194,0.192,https://doi.org/10.1021/acs.chemmater.8b02155
Yb1.00Cd1.20Zn0.80Sb2.00,350,89.28,125000,1.67,0.000996365,0.22,https://doi.org/10.1021/acs.chemmater.8b02155
Yb1.00Cd1.30Zn0.70Sb2.00,350,109.69,98726,1.556,0.001187861,0.267192379,https://doi.org/10.1021/acs.chemmater.8b02155
Yb1.00Cd1.40Zn0.60Sb2.00,350,125.45,75926,1.67,0.001194901,0.250428311,https://doi.org/10.1021/acs.chemmater.8b02155
Yb1.00Cd1.50Zn0.50Sb2.00,350,121.03,91450,1.613,0.001339583,0.33,https://doi.org/10.1021/acs.chemmater.8b02155
Yb1.00Cd1.60Zn0.40Sb2.00,350,122.22,84470,1.6825,0.00126179,0.29,https://doi.org/10.1021/acs.chemmater.8b02155
Yb1.00Cd1.70Zn0.30Sb2.00,350,128.6,71800,1.76,0.001187426,0.248,https://doi.org/10.1021/acs.chemmater.8b02155
Yb1.00Cd1.80Zn0.20Sb2.00,350,133.74,64873,1.8435,0.001160344,0.220298491,https://doi.org/10.1021/acs.chemmater.8b02155
Yb1.00Cd1.90Zn0.10Sb2.00,350,137.32,61377,1.955,0.001157373,0.20720228,https://doi.org/10.1021/acs.chemmater.8b02155
Yb1.00Cd2.00Sb2.00,350,100.825,111511,1.6246,0.001133585,0.24421693,https://doi.org/10.1021/acs.chemmater.8b02155
Bi0.23Sb0.77Te3.00,350,244,44766,0.88037,0.002665189,1.059572681,https://doi.org/10.1021/acsaem.1c01830
Er0.01Bi0.23Sb0.77Te3.00,350,241.79,46228,0.8607,0.0027026,1.09900082,https://doi.org/10.1021/acsaem.1c01830
Er0.02Bi0.23Sb0.77Te3.00,350,236.15,49561,0.8009,0.002763859,1.207829718,https://doi.org/10.1021/acsaem.1c01830
Er0.03Bi0.23Sb0.77Te3.00,350,235.73,50322,0.8243,0.002796325,1.187327018,https://doi.org/10.1021/acsaem.1c01830
Bi0.92Pb0.04Yb0.04Cu1.00Se1.00O1.00,350,149,16410,0.7098,0.000364318,0.179644186,https://doi.org/10.1021/acsami.1c19266
Mg1.00Ag1.00Sb1.00,350,188.36,40909,1,0.00145143,0.508000654,https://doi.org/10.1021/cm5041826
Mg1.00Ag1.00Sb0.98In0.01,350,164.55,72072,1.2295,0.001951472,0.555522762,https://doi.org/10.1021/cm5041826
Mg1.00Ag1.00Sb0.98In0.02,350,146,81261,1.3426,0.001955,0.5068,https://doi.org/10.1021/cm5041826
Mg1.00Ag1.00Sb0.99In0.01,350,179.5,48545,1.095,0.001564132,0.516,https://doi.org/10.1021/cm5041826
Mg1.00Ag1.00Sb0.99In0.01,350,170.36,62523,0.9885,0.001814576,0.642490103,https://doi.org/10.1021/cm5041826
Ag3.40Mo9.00Se11.00,350,71,58000,1.26,0.000292378,0.0804,https://doi.org/10.1063/1.3579261
Ag3.50Mo9.00Se11.00,350,69.75,57600,1.22,0.000280228,0.080393164,https://doi.org/10.1063/1.3579261
Ag3.70Mo9.00Se11.00,350,74,55400,1.1804,0.00030337,0.089952253,https://doi.org/10.1063/1.3579261
Ag3.80Mo9.00Se11.00,350,92.4,35800,0.8527,0.000305652,0.125,https://doi.org/10.1063/1.3579261
Ag3.90Mo9.00Se11.00,350,98,30250,0.78,0.000290521,0.130361987,https://doi.org/10.1063/1.3579261
Bi0.48Sb1.52Te3.00,350,239.59,50000,1.222,0.002870168,0.822061327,https://doi.org/10.1021/acsami.1c05525
Ag2.00Se1.00,350,-114.03,240896,1.4945,0.003132332,0.733567298,https://doi.org/10.1021/acsami.1c08410
Mg2.00Sn0.99Sb0.01,350,-148.1,195614,5.1069,0.004290521,0.2940497,https://doi.org/10.1021/acsami.0c17462
Mg2.00Sn0.99Sb0.01,350,-113.2,349107,6,0.004473541,0.260956552,https://doi.org/10.1021/acsami.0c17462
Mg2.00Sn0.98Sb0.02,350,-86.29,460177,7.101,0.003426461,0.168886283,https://doi.org/10.1021/acsami.0c17462
Cu2.00Se1.00,353,96.05,100000,0.908,0.00092256,0.358660538,https://doi.org/10.1021/acs.chemmater.7b01687
Cu2.00Se0.88S0.12,353,127.3,50900,0.474,0.000824849,0.611,https://doi.org/10.1021/acs.chemmater.7b01687
Cu2.00Se0.92S0.08,353,116.12,77315,0.586,0.001042504,0.627993146,https://doi.org/10.1021/acs.chemmater.7b01687
Cu2.00Se0.94S0.06,353,111.84,87895,0.654,0.001099407,0.593410798,https://doi.org/10.1021/acs.chemmater.7b01687
Cu2.00Se0.96S0.04,353,104.28,91758,0.712,0.000997806,0.494698616,https://doi.org/10.1021/acs.chemmater.7b01687
Cu2.00Se0.98S0.02,353,102.63,98235,0.742,0.001034701,0.49224998,https://doi.org/10.1021/acs.chemmater.7b01687
Cu2.00Se1.00,359,104.4,82534,0.73,0.000899568,0.442390181,10.1002/adma.201302660
Cu2.00Se0.92I0.08,359,191,8986,0.14,0.000327818,0.840619696,10.1002/adma.201302660
Cu2.00Se0.96I0.04,359,115,40033,0.41,0.000529436,0.463579699,10.1002/adma.201302660
Ag2.00Se0.50Te0.50,360,-101,64587,0.667,0.000658852,0.355602272,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.00Se0.60Te0.40,360,-113,79266,0.737,0.001012148,0.494400433,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.00Se0.80Te0.20,360,-127,100825,0.818,0.001626206,0.715689869,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.00Se0.90Te0.10,360,-133.8,105413,0.896,0.00188715,0.758229874,https://doi.org/10.1021/acs.inorgchem.1c01563
Ag2.00Se0.98,361,-97.82,253770,1.466,0.002428262,0.59795545,https://doi.org/10.1021/acsami.1c18483
Ag2.00Se1.00,361,-126,162800,1.048,0.002584613,0.894,https://doi.org/10.1021/acsami.1c18483
Ag2.00Se1.00,362,-98.24,233115,1.3072,0.002249816,0.623036455,https://doi.org/10.1021/acsami.1c18483
Ag2.00Se1.01,362,-137.23,135738,1.1243,0.002556228,0.823049456,https://doi.org/10.1021/acsami.1c18483
Ag2.00Se1.02,362,-135.53,144590,1.147,0.002655884,0.838212797,https://doi.org/10.1021/acsami.1c18483
Ag2.00Se1.03,362,-137.23,131311,1.166,0.002472858,0.767731315,https://doi.org/10.1021/acsami.1c18483
Ag2.00Se1.04,362,-141.4,126300,1.0797,0.002525237,0.846657264,https://doi.org/10.1021/acsami.1c18483
Ag2.00Se1.06,362,-137.8,129800,1.064,0.002464751,0.838571446,https://doi.org/10.1021/acsami.1c18483
Tm1.00Cu1.00Te2.00,363,83.3,86200,1.5,0.000598132,0.144748021,10.1002/chem.201404453
Cu1.00Ag1.00Te0.50Se0.50,363,137.5,9413,0.4446,0.000177965,0.145301675,https://doi.org/10.1021/acsami.1c20333
Cu1.00Ag1.00Te0.60Se0.40,363,222.28,8671,0.388,0.00042842,0.400815827,https://doi.org/10.1021/acsami.1c20333
